,epoch,step,batch_loss,full_loss,lambda_max,step_sharpness,batch_sharpness,gni,total_accuracy
161,1,161,0.242691,,,,,,
162,1,162,0.285532,,,,,,
163,1,163,0.218981,,,,,,
164,1,164,0.103185,,,,,,
165,1,165,0.119752,,,,,,
166,1,166,0.161231,,,,,,
167,1,167,0.111957,,,,,,
168,1,168,0.131387,,,,,,
169,1,169,0.079604,,,,,,
170,1,170,0.132876,,,,,,
171,1,171,0.147578,,,,,,
172,1,172,0.244092,,,,,,
173,1,173,0.062949,,,,,,
174,1,174,0.24591,,,,,,
175,1,175,0.109242,,,,,,
176,1,176,0.251127,,,,,,
177,1,177,0.137995,,,,,,
178,1,178,0.290596,,,,,,
179,1,179,0.219203,,,,,,
180,1,180,0.101921,,,,,,
181,1,181,0.097054,,,,,,
182,1,182,0.165929,,,,,,
183,1,183,0.290922,,,,,,
184,1,184,0.070777,,,,,,
185,1,185,0.280953,,,,,,
186,1,186,0.333867,,,,,,
187,1,187,0.231167,,,,,,
188,1,188,0.152931,,,,,,
189,1,189,0.080328,,,,,,
190,1,190,0.114857,,,,,,
191,1,191,0.228073,,,,,,
192,1,192,0.132094,,,,,,
193,1,193,0.167161,,,,,,
194,1,194,0.111962,,,,,,
195,1,195,0.293663,,,,,,
196,1,196,0.124875,,,,,,
197,1,197,0.151826,,,,,,
198,1,198,0.234628,,,,,,
199,1,199,0.05001,,,,,,
200,1,200,0.05241,,,,,,
201,1,201,0.06123,,,,,,
202,1,202,0.070043,,,,,,
203,1,203,0.129317,,,,,,
204,1,204,0.312947,,,,,,
205,1,205,0.122344,,,,,,
206,1,206,0.059646,,,,,,
207,1,207,0.236243,,,,,,
208,1,208,0.124266,,,,,,
209,1,209,0.212773,,,,,,
210,1,210,0.182199,,,,,,
211,1,211,0.192077,,,,,,
212,1,212,0.079703,,,,,,
213,1,213,0.138437,,,,,,
214,1,214,0.171132,,,,,,
215,1,215,0.064057,,,,,,
216,1,216,0.226095,,,,,,
217,1,217,0.128574,,,,,,
218,1,218,0.195435,,,,,,
219,1,219,0.124332,,,,,,
220,1,220,0.134773,,,,,,
221,1,221,0.09512,,,,,,
222,1,222,0.17083,,,,,,
223,1,223,0.052714,,,,,,
224,1,224,0.253556,,,,,,
225,1,225,0.231542,,,,,,
226,1,226,0.155022,,,,,,
227,1,227,0.139596,,,,,,
228,1,228,0.091127,,,,,,
229,1,229,0.159374,,,,,,
230,1,230,0.106233,,,,,,
231,1,231,0.261912,,,,,,
232,1,232,0.129118,,,,,,
233,1,233,0.102448,,,,,,
234,1,234,0.155427,,,,,,
235,1,235,0.119869,,,,,,
236,1,236,0.050123,,,,,,
237,1,237,0.19323,,,,,,
238,1,238,0.148614,,,,,,
239,1,239,0.154533,,,,,,
240,1,240,0.182027,,,,,,
241,1,241,0.105572,,,,,,
242,1,242,0.299175,,,,,,
243,1,243,0.157383,,,,,,
244,1,244,0.119685,,,,,,
245,1,245,0.192596,,,,,,
246,1,246,0.098059,,,,,,
247,1,247,0.203798,,,,,,
248,1,248,0.101478,,,,,,
249,1,249,0.125832,,,,,,
250,1,250,0.280087,,,,,,
251,1,251,0.208002,,,,,,
252,1,252,0.097893,,,,,,
253,1,253,0.092813,,,,,,
254,1,254,0.114593,,,,,,
255,1,255,0.061957,,,,,,
256,2,256,0.210285,0.142674,50.55,,30.2,,
257,2,257,0.124062,,,,,,
258,2,258,0.047161,,,,,,
259,2,259,0.132744,,,,,,
260,2,260,0.185139,,,,,,
261,2,261,0.077929,,,,,,
262,2,262,0.091013,,,,,,
263,2,263,0.051746,,,,,,
264,2,264,0.089341,,,,,,
265,2,265,0.117331,,,,,,
266,2,266,0.099843,,,,,,
